track,artist,explicit_label,age_rating
LA FAMA,ROSALï¿½,clean,all
SAD!,XXXTENTACION,explicit,18+
Major Distribution,Drake,explicit,18+
act ii: date @ 8 (remix),4batz,explicit,18+
Cheques,Shubh,clean,all
Corazï¿½ï¿½n Roto pt. 3 (feat. Jhayco & Ryan Cas,Brray,explicit,18+
drivers license,Olivia Rodrigo,explicit,18+
Veggie Dance - Remix,Gracie's Corner,clean,all
Feel It,d4vd,clean,all
OTW,Khalid,explicit,18+
"10,000 Hours",Dan + Shay,clean,all
LA FALDA,Myke Towers,explicit,18+
Soltera - Remix,Lunay,clean,all
NDA,Billie Eilish,explicit,18+
See You Again (feat. Charlie Puth),Wiz Khalifa,clean,all
"yes, and?",Ariana Grande,explicit,18+
"Poblado (feat. Crissin, Totoy El Frio & Natan & Shander) [Remix]",J Balvin,clean,all
All of Me - Radio Edit,John Legend,clean,all
Another Love (Tiï¿½ï¿½sto Re,Tom Odell,clean,all
Faint,Linkin Park,clean,all
A Bar Song (Tipsy),Shaboozey,clean,all
Wagon Wheel,Darius Rucker,clean,all
Zombie Dance with New DB Heroes,D Billions,clean,all
PUNTO G,Quevedo,clean,all
If I Can't Have You,Shawn Mendes,clean,all
Fear Of Heights,Drake,explicit,18+
ceilings,Lizzy McAlpine,clean,all
"Mommy, Mommy Give Me Yummy",D Billions,clean,all
I Can Fix Him (No Really I Can),Taylor Swift,clean,all
Look Back At It,A Boogie Wit da Hoodie,explicit,18+
Lost Boy,Ruth B.,clean,all
Basit Numaralar,Zerrin ï¿½ï¿,clean,all
Rim Tim Tagi Dim,Baby Lasagna,clean,all
Did Me Wrong,A Boogie Wit da Hoodie,explicit,18+
Baby Me Atende,Matheus Fernandes,clean,all
Madrid City,Ana Mena,clean,all
Standing Next to You,Jung Kook,clean,all
GOOD LOYAL THOTS,Odetari,explicit,18+
ADIVINO,Myke Towers,explicit,18+
Botella Tras Botella,Gera MX,clean,all
Mama,Jonas Blue,clean,all
